stor_id	ord_num	ord_date	qty	payterms	title_id
6380	6871	1994-09-14	0:00:00.000 5	Net 60	BU1032
6380	722a	1994-09-13	0:00:00.000 3	Net 60	PS2091
7066	A2976	1993-05-24	0:00:00.000 50	Net 30	PC8888
7066	QA7442.3	1994-09-13	0:00:00.000 75	ON invoice	PS2091
7067	D4482	1994-09-14	0:00:00.000 10	Net 60	PS2091
7067	P2121	1992-06-15	0:00:00.000 40	Net 30	TC3218
7067	P2121	1992-06-15	0:00:00.000 20	Net 30	TC4203
7067	P2121	1992-06-15	0:00:00.000 20	Net 30	TC7777
7131	N914008	1994-09-14	0:00:00.000 20	Net 30	PS2091
7131	N914014	1994-09-14	0:00:00.000 25	Net 30	MC3021
